address,number,municipality,latitude,longitude,id,postal_code,province
Chaussée de Wavre ,2057,Bruxelles,50.8088993,4.4426244,4519.0,1160.0,Bruxelles-Brussel
Parklaan ,7,Wilrijk,51.1726808,4.4275025,4521.0,2610.0,Antwerpen
Rue d Austerlitz,56,Rochefort,50.16150795,5.21429434839858,4522.0,5580.0,Namur
Rue Fraiche ,1,Chênée,50.618204500000004,5.619092642727276,4523.0,4030.0,Liège
Rue des Coudriers ,5,Angleur,50.61085145,5.599376857534899,4524.0,4031.0,Liège
Rue de l Ourthe,1,Liège,50.539167649999996,5.583213521075086,4525.0,4020.0,Liège
Rue St Isidore ,3,Marche-en-Famenne,50.20450545,5.3103293,4526.0,6900.0,Luxembourg
Zeedijk,24,Zeebrugge,51.32878715,3.1787584115727845,4528.0,8380.0,West-Vlaanderen
Rue des Postes,101,Braine-le-Comte,50.6094156,4.126926727520585,4530.0,7090.0,Hainaut
Rue de Belle-Vue ,32,La,50.47471575,4.2300151849099965,4531.0,7100.0,Hainaut
Chaussée de Binche ,159,Mons,50.4520772,3.98595,4532.0,7000.0,Hainaut
Rue de Bruxelles,0,Fleurus,50.4852895,4.5512755,4533.0,6220.0,Hainaut
Rue Tour Saint Pierre,9,Leuze-en-Hainaut,50.6004421,3.6219062,4535.0,7900.0,Hainaut
Rue de l Hocaille ,10,Louvain-la-Neuve,50.67014775,4.609506194260671,4536.0,1348.0,Brabant Wallon
Quai des Salines ,28,Tournai,50.61012085,3.387285478290668,4537.0,7500.0,Hainaut
Jules Bordetlaan,164,Brussel,50.8705502,4.41801859556683,4538.0,1140.0,Bruxelles-Brussel
Raketstraat,40,Brussel,50.87817045,4.416540846895945,4539.0,1130.0,Bruxelles-Brussel
Theodorstraat,108,Brussel,50.8758794,4.3273977,4540.0,1090.0,Bruxelles-Brussel
Rue Général de Gaulle,53,La hulpe,50.7380313,4.485435500084737,4541.0,1310.0,Brabant Wallon
Rue de la Place,2,Gembloux,50.5819975,4.767268113380135,4542.0,5031.0,Namur
Chaussée de Charleroi ,145,Gembloux,50.56107245,4.682782659344068,4543.0,5030.0,Namur
chaussée de l herbatte,85,Wavre,50.723901350000006,4.618901230328372,4546.0,1300.0,Brabant Wallon
Chemin du Meunier,40,Rixensart,50.7072546,4.5330868,4547.0,1330.0,Brabant Wallon
Av. Charles Schaller ,50,Bruxelles,50.8059918,4.441211354512981,4549.0,1160.0,Bruxelles-Brussel
uitbreidingstraat,72,Berchem,51.1925603,4.4165536,4552.0,2600.0,Antwerpen
Haachtsesteenweg ,1470,Brussel,50.88166015,4.419124010086801,4553.0,1130.0,Bruxelles-Brussel
Haachtsesteenweg ,1470,Brussel,50.88166015,4.419124010086801,4554.0,1130.0,Bruxelles-Brussel
Rue du Faing,16,Chiny,49.6938761,5.412778,4555.0,6810.0,Luxembourg
Rue de Moresnet ,157,Gemmenich,50.735225400000004,5.990945827445564,4556.0,4851.0,Liège
Rue de Sauvian,1,Paliseul,49.9013237,5.1315323,4558.0,6850.0,Luxembourg
Rue de la Procession ,49,Comines,50.7670918,2.9992245,4559.0,7780.0,Hainaut
Avenue de l Industrie,21,Braine-l Alleud,50.688517000000004,4.328234342865834,4560.0,1420.0,Brabant Wallon
Avenue de l Industrie ,21,Braine-l Alleud,50.688517000000004,4.328234342865834,4562.0,1420.0,Brabant Wallon
Rue Jules Beresse ,20,Villers-Saint-Ghislain,50.4296828,4.0399769,4563.0,7031.0,Hainaut
Rue Rene Menada ,12,Hamme-Mille,50.7799371,4.713411505987823,4564.0,1320.0,Brabant Wallon
Parc Artisanal de Blegny,0,Barchon,50.6567564,5.7015593,4565.0,4671.0,Liège
Rue de Merckhof ,110,Aubel,50.7049321,5.8689769,4566.0,4880.0,Liège
Minervastraat ,8,Zaventem,50.8801139,4.451246441577235,4570.0,1930.0,Vlaams-Brabant
Rue de la Digue,20,Flémalle,50.5943983,5.4740983,4572.0,4400.0,Liège
Rue Renory ,478,Angleur,50.6158154,5.5821874,4573.0,4031.0,Liège
Rue Ernest Solvay ,208,Liège,50.6104534,5.547284255864302,4574.0,4000.0,Liège
Chaussée de Liège ,1103,Lives-sur-Meuse,50.4668174,4.9251351,4576.0,5101.0,Namur
Rue des Viaux,1,Naninne,50.42564725,4.918378707994733,4577.0,5100.0,Namur
Rue Noiret,6,Couvin,50.04328855,4.461769752358183,4578.0,5660.0,Namur
Hanenstraat ,148,Buggenhout,51.01147915,4.186460841962019,4581.0,9255.0,Oost-Vlaanderen
De Tyraslaan ,109,Brussel,50.90959755,4.393606962681283,4582.0,1120.0,Bruxelles-Brussel
Rue du Château ,27,Clabecq,50.68818085,4.223106728108808,4584.0,1480.0,Brabant Wallon
Valkestraat ,18,Nieuwpoort,51.1325839,2.75136856265625,4587.0,8620.0,West-Vlaanderen
Elf Juliwijk,6,Nieuwpoort,51.1347275,2.7402698536410215,4588.0,8620.0,West-Vlaanderen
Rue Jean Kurtz,64,Stembert,50.5792115,5.8911967,4589.0,4801.0,Liège
Rue Traverse ,9,Trois-Ponts,50.37254055,5.8694074652953585,4593.0,4980.0,Liège
Rue Adolphe Bastin,7,Spa,50.4906758,5.858490135755989,4594.0,4900.0,Liège
Rue Alphonse Collette ,25,Theux,50.55698445,5.899156973099078,4595.0,4910.0,Liège
Rue St Médard,1,Solre-sur-Sambre,50.3091037,4.152494440594701,4597.0,6560.0,Hainaut
