id,address,number,postal_code,municipality,province
9953.0,Place de la Bourse,3.0,1000.0,Bruxelles,Bruxelles-Brussel
9954.0,Place de la Bourse,3.0,1000.0,Bruxelles,Bruxelles-Brussel
9955.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9956.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9957.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9958.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9959.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9960.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9961.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9962.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9963.0,Station Gare du Midi,1.0,1060.0,Bruxelles,Bruxelles-Brussel
9964.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9965.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9966.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9967.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9968.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9969.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9970.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9971.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9972.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9973.0,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel
9974.0,Veurnestraat,317.0,8660.0,De,West-Vlaanderen
9975.0,Veurnestraat,245.0,8660.0,De,West-Vlaanderen
9976.0,Veldstraat,31.0,8660.0,De,West-Vlaanderen
9979.0,Oude Vestenstraat,12.0,3300.0,Tienen,Vlaams-Brabant
9980.0,Forumlaan,4.0,1020.0,Brussel,Bruxelles-Brussel
9981.0,Pastoor Eralystraat,2.0,3012.0,Wilsele,Vlaams-Brabant
9983.0,Dr.Vanderhoeydonckstraat,56.0,3560.0,Lummen,Limburg
9984.0,Meldertsebaan,2.0,3560.0,Lummen,Limburg
9985.0,Geneikenstraat,15.0,3560.0,Lummen,Limburg
9986.0,Genebosstraat,86.0,3560.0,Lummen,Limburg
9987.0,Linkhoutstraat,196.0,3560.0,Lummen,Limburg
9988.0,Sint-Janstraat,8.0,3560.0,Lummen,Limburg
9989.0,Pastoor Frederickxstraat,11.0,3560.0,Lummen,Limburg
9990.0,Kerkstraat,12.0,3560.0,Lummen,Limburg
9991.0,Gestelstraat,13.0,3560.0,Lummen,Limburg
9992.0,Rue de l Eglise,1.0,6200.0,Châtelineau,Hainaut
9993.0,Alfons Gossetlaan,40.0,1702.0,Groot-Bijgaarden,Vlaams-Brabant
9994.0,Peter Benoitlaan,40.0,9800.0,Deinze,Oost-Vlaanderen
9995.0,André Dumontlaan,129.0,3600.0,Genk,Limburg
9996.0,Halmstraat,9.0,3600.0,Genk,Limburg
9997.0,Hooiplaats,14.0,3600.0,Genk,Limburg
9998.0,Rustlaan,13.0,3600.0,Genk,Limburg
9999.0,Chaussée de Bascoup,2.0,7140.0,Morlanwelz,Hainaut
10001.0,Place Jean Guyot,45.0,6200.0,Châtelet,Hainaut
10002.0,Avenue B De Constantinople,10.0,7000.0,Mons,Hainaut
10003.0,Grand  Route ,26.0,7040.0,Quévy-le-Grand,Hainaut
10004.0,Courtenssstraat,1.0,8791.0,Beveren,West-Vlaanderen
10005.0,Devant les Hêtres,1.0,6890.0,Transinne,Luxembourg
10006.0,Place du Tilleul,1.0,6769.0,Gérouville,Luxembourg
10007.0,Rue de la Grihire,21.0,6769.0,Meix-devant-Virton,Luxembourg
10008.0,Rue de la Comète,48.0,6769.0,Meix-devant-Virton,Luxembourg
10009.0,Rue des Paquis,60.0,6769.0,Meix-devant-Virton,Luxembourg
10010.0,Grand Place,1.0,6929.0,Haut-Fays,Luxembourg
10011.0,Allée des Marronniers,,6929.0,Daverdisse,Luxembourg
10012.0,Rue du Nouveau Monde,188.0,7700.0,Mouscron,Hainaut
10013.0,Rue de Manin,95.0,7700.0,Mouscron,Hainaut
10014.0,Rue Léopold,50.0,7700.0,Mouscron,Hainaut
10015.0,Rue Léopold,61.0,7700.0,Mouscron,Hainaut
10016.0,Rue de Tournai,17.0,7700.0,Mouscron,Hainaut
10017.0,Rue de Tournai,17.0,7700.0,Mouscron,Hainaut
10018.0,Kloosterstraat,12.0,9520.0,Sint-Lievens-Houtem,Oost-Vlaanderen
10019.0,Eugène Bekaertlaan,14.0,8790.0,Waregem,West-Vlaanderen
10020.0,Staatsbaan,190.0,9870.0,Zulte,Oost-Vlaanderen
10021.0,Maerslantstraat,1.0,8370.0,Blankenberge,West-Vlaanderen
10022.0,Karel prinstenlaan,5.0,3900.0,Overpelt,Limburg
10023.0,Rommersom,1.0,3320.0,Hoegaarden,Vlaams-Brabant
10024.0,Bargiestraat,1.0,8900.0,Ieper,West-Vlaanderen
10025.0,Place de la centrale,11.0,4400.0,Flémalle,Liège
10026.0,Rue Louvrex,95.0,4000.0,Liège,Liège
10027.0,Rue de Louvrex,95.0,4000.0,Liège,Liège
10028.0,rue Sainte-Marie,11.0,4000.0,Liège,Liège
10029.0,Rue Jean-Jaures,,4430.0,Ans,Liège
10030.0,Rue Jean-Jaures,,4430.0,Ans,Liège
10031.0,2ème avenue ,30.0,4040.0,Herstal,Liège
10032.0,2ème Avenue,32.0,4040.0,Herstal,Liège
10033.0,Rue de Jupille,23.0,4020.0,Liège,Liège
10034.0,Rue du Barrage,2.0,4100.0,Seraing,Liège
10035.0,Rue D Abhooz,82.0,4040.0,Herstal,Liège
