id,address,number,municipality,latitude,longitude,postal_code,province
1833.0,Rue Godefroid,35,Namur,50.4674678,4.862324785858489,5000.0,Namur
1834.0,Place du Châtelet,0,Malmédy,50.4264205,6.0276301,4960.0,Liège
1835.0,Koning Fabiolalaan,116,Gent,,,9000.0,Oost-Vlaanderen
1839.0,Rue de l Arsenal ,0,Dottignies,50.7306588,3.2995394,7711.0,Hainaut
1840.0,Rue des Olympiades,50,Mouscron,50.7291047,3.2060499,7700.0,Hainaut
1843.0,Rue des Prés ,0,Mouscron,50.7503701,3.1878296,7700.0,Hainaut
1844.0,Koutermolenstraat,73,Belsele,51.14895335,4.07742805,9111.0,Oost-Vlaanderen
1845.0,Doorslaardorp,72,Lokeren,51.121431,3.927510080595326,9160.0,Oost-Vlaanderen
1846.0,Ward De Bockstraat,0,LOKEREN,51.1142869,3.9670785,9160.0,Oost-Vlaanderen
1848.0,Rue des Fours a Chaux,0,Frameries,50.4117824,3.9135106,7080.0,Hainaut
1853.0,Grote Markt,1,Turnhout,51.175717399999996,4.8364161594773405,2300.0,Antwerpen
1854.0,Campus Blairon,200,TURNHOUT,51.3159617,4.929813655386205,2300.0,Antwerpen
1855.0,Stationsstraat,5,Hamont-Achel,51.2488456,5.5439933,3930.0,Limburg
1856.0,Grevenbroekstraat,11,HAMONT-ACHEL,51.2570354,5.4817834,3930.0,Limburg
1858.0,Leo Bosschartlaan,1,Hoboken,51.1737021,4.335784523166588,2660.0,Antwerpen
1859.0,Henry Fordlaan,33,Genk,50.91532755,5.4967872228961685,3600.0,Limburg
1860.0,Skaldenstraat,62,Desteldonk,51.1203745,3.7768479,9042.0,Oost-Vlaanderen
1861.0,Assenedestraat,2,Ertvelde,51.17853285,3.791172384228303,9940.0,Oost-Vlaanderen
1865.0,Kipdorp,57,Antwerpen,51.2208193,4.4094228,2000.0,Antwerpen
1866.0,Rue Charles Malis,61,Bruxelles,50.85507135,4.310498497359154,1080.0,Bruxelles-Brussel
1867.0,Place Nothomb,5,HABAY,49.7268811,5.645819105184149,6720.0,Luxembourg
1868.0,Parvis des Ecoliers,1,Liège,50.6440771,5.5826336,4020.0,Liège
1869.0,Demervallei,6,Aarschot,50.9832667,4.8396825,3200.0,Vlaams-Brabant
1870.0,Excelsiorlaan,10,Zaventem,50.88298275,4.45794650789011,1930.0,Vlaams-Brabant
1871.0,Noorderlaan,127,Antwerpen,51.263516499999994,4.409710596043055,2030.0,Antwerpen
1872.0,Wiedauwkaai,50,Gent,51.0748696,3.72593532994677,9000.0,Oost-Vlaanderen
1873.0,Rue de Mellemont,1,Perwez,50.6547104,4.8125,1360.0,Brabant Wallon
1874.0,Rue des Marroniers,17,Perwez,,,1360.0,Brabant Wallon
1875.0,Rue Paganetti,0,Gerpinnes,50.34005,4.4935109,6280.0,Hainaut
1876.0,ZI De Mornimont,0,Jemeppe-sur-Sambre,,,5190.0,Namur
1877.0,Chaussée de la Hulpe,178,Bruxelles,50.7958216,4.4075667,1170.0,Bruxelles-Brussel
1878.0,Kwadelapstraat,2,Erembodegem,50.9100777,4.053464579825249,9320.0,Oost-Vlaanderen
1879.0,Chaussée de Tubize,489,Braine-l Alleud,50.6914772,4.3255323,1420.0,Brabant Wallon
1880.0,Posthofbrug,10,Berchem,51.194257050000004,4.434668349999991,2600.0,Antwerpen
1897.0,Kerkkouter,40,Herzele,50.8857798,3.883712789124665,9550.0,Oost-Vlaanderen
